q1,q2,q3,q4,q5,q6,q7,q12,q13,q15,q18,q24
6,2,4,2,E,1.83,68.95,1,1,1,2,2
4,2,2,1,,1.75,67.13,1,3,4,1,2
6,1,3,1,C E,1.52,56.7,1,1,1,2,2
6,2,4,2,CD,1.8,79.38,1,1,1,2,2
7,2,4,2,E,1.78,68.95,1,1,1,1,2
3,1,1,2,C E,1.45,70.76,1,1,8,2,1
3,1,1,2,E,1.6,56.7,1,1,1,2,1
4,1,1,2,E,,,1,1,1,2,2
4,1,1,2,E,1.6,58.97,1,1,1,2,2
3,1,1,2,B,1.57,40.82,1,1,1,2,2
3,1,1,2,E,1.65,56.25,1,1,1,2,2
3,1,1,2,E,1.68,49.44,1,1,1,2,2
7,2,4,2,E,1.73,72.58,1,1,1,2,2
6,2,4,1,E,1.85,85.73,5,1,1,2,2
7,2,4,1,E,1.8,90.72,1,1,1,2,2
7,2,4,2,E,1.75,87.54,1,1,1,2,2
7,2,4,1,E,1.8,77.11,1,1,1,2,2
