q1,q2,q3,q6,q7,q66,q80,q84
5,2,2,1.8,61.24,2,2,5
4,2,2,1.73,72.58,3,8,2
6,1,4,1.6,56.25,3,,
7,1,4,1.75,68.04,3,8,3
3,1,1,,,,6,
6,1,3,1.57,58.97,4,6,4
6,1,4,1.6,83.92,4,6,4
6,1,4,1.65,64.41,3,8,3
3,2,1,1.8,61.24,3,,
4,2,1,,,2,1,2
7,1,4,1.63,52.16,3,8,4
6,1,4,1.57,47.63,3,8,5
,2,1,,,3,6,
4,1,1,1.6,54.43,3,8,5
6,1,3,1.65,102.97,5,7,4
6,1,4,1.63,97.07,5,6,1
6,1,4,1.68,68.04,3,8,1
3,1,1,,,,,
4,1,1,1.6,57.15,4,8,3
6,1,3,1.63,95.26,4,6,4
5,2,3,1.8,74.84,3,6,1
5,1,3,,,4,8,3
5,2,4,1.73,52.16,1,8,
6,1,4,1.45,59.88,4,7,3
3,1,1,1.73,53.52,2,8,3
6,2,3,,,1,7,1
6,1,3,1.68,63.5,4,6,3
4,2,2,,,4,1,3
6,1,4,1.65,48.54,2,7,4
7,1,4,1.65,56.7,3,6,4
3,2,1,1.75,56.7,3,6,1
4,1,1,1.63,63.5,3,1,1
5,1,3,1.57,61.24,3,8,2
6,2,4,1.78,92.99,4,8,
5,2,3,1.75,83.92,4,6,2
5,1,3,,,4,8,4
5,2,2,1.83,82.56,3,7,2
3,2,2,1.7,50.8,2,,
7,2,4,1.83,94.35,4,4,4
5,2,3,1.85,105.24,4,6,1
5,1,3,,,5,6,5
4,1,2,1.5,77.11,2,8,2
7,2,4,1.9,88.45,4,2,3
6,1,4,1.6,56.7,3,4,
6,1,4,,,4,8,3
3,1,1,,,,,
4,1,1,1.68,44.45,2,6,4
6,1,3,1.68,77.11,4,8,2
5,2,3,1.83,72.58,2,8,4
5,1,3,1.7,63.5,3,6,3
6,2,4,1.73,90.72,4,6,1
6,2,4,1.75,79.38,4,7,4
4,2,1,1.7,104.33,5,1,1
5,2,3,1.9,90.72,4,1,3
5,2,2,1.73,90.72,4,8,4
7,1,4,1.6,76.2,4,,
6,2,4,1.73,63.96,3,6,4
4,1,1,1.57,68.95,3,,
3,1,1,1.6,42.64,2,8,4
4,1,2,1.6,46.27,4,6,3
5,1,2,1.55,52.16,3,7,3
6,,4,,,3,4,1
6,2,4,1.73,58.97,1,7,3
5,1,3,1.57,79.38,4,6,4
5,2,2,1.83,127.01,3,7,1
5,1,2,1.73,93.9,5,8,5
6,2,4,1.85,83.92,3,,
6,1,4,1.52,44.45,2,6,3
3,1,1,1.6,71.22,4,6,5
7,2,4,1.73,70.31,,,
5,1,3,1.5,48.99,3,6,1
3,2,1,,,4,8,5
3,1,1,1.57,52.16,3,8,3
5,2,3,1.78,54.43,2,6,2
4,1,2,1.57,52.16,3,8,4
5,2,2,1.78,72.58,2,8,3
6,2,4,1.75,65.77,3,6,3
7,2,4,1.78,72.58,3,6,1
4,1,1,1.55,65.77,4,8,3
3,1,1,1.6,58.06,3,8,5
5,2,3,1.75,86.18,3,6,1
7,1,4,,,2,6,
7,2,4,1.8,70.31,3,7,3
4,2,1,1.68,61.24,3,,
3,2,1,,,3,4,3
5,2,3,1.83,70.31,2,6,4
3,1,1,1.65,63.5,4,8,5
6,1,3,1.68,65.77,3,7,2
6,1,3,1.55,52.16,3,6,2
5,1,3,1.6,72.58,4,6,3
5,2,2,1.8,72.58,2,6,1
5,2,3,1.78,62.6,3,8,3
5,1,2,,,4,8,4
,1,3,,,5,7,3
3,1,1,1.63,70.31,4,7,4
4,2,2,1.63,58.97,3,8,1
5,2,3,1.83,60.78,3,7,1
5,2,3,1.78,72.58,3,6,1
